Name,Event,Date,Second Party,Note,Source
Heber J. Grant,Birth,1856-11-22,,Born in Salt Lake City Utah Territory; father Jedediah Morgan Grant died 9 days after birth; 7th President of the LDS Church (1918–1945),https://en.wikipedia.org/wiki/Heber_J._Grant
Heber J. Grant,Death,1945-05-14,,Died Salt Lake City Utah; cardiac failure from arteriosclerosis; last LDS president to have entered plural marriage,https://en.wikipedia.org/wiki/Heber_J._Grant
Lucy Stringham,Birth,1858-04-29,,Born in Salt Lake City Utah Territory; daughter of Briant Stringham and Susan Ann Ashby,https://history.churchofjesuschrist.org/chd/individual/lucy-stringham-1858?lang=eng
Lucy Stringham,Marriage,1877-11-01,Heber J. Grant,First wife; sealed in Endowment House Salt Lake City,https://en.wikipedia.org/wiki/Heber_J._Grant
Lucy Stringham,Death,1893-01-03,,Died Salt Lake City Utah Territory age 34 after long illness; 6 children with Grant,https://history.churchofjesuschrist.org/chd/individual/lucy-stringham-1858?lang=eng
Hulda Augusta Winters,Birth,1856-07-07,,Born in Pleasant Grove Utah Territory; daughter of Oscar Winters and Mary Ann Stearns,https://history.churchofjesuschrist.org/chd/individual/hulda-augusta-winters-1856?lang=eng
Hulda Augusta Winters,Marriage,1884-05-26,Heber J. Grant,Second wife; plural marriage; described as the ablest schoolteacher in Utah Territory at the time,https://en.wikipedia.org/wiki/Heber_J._Grant
Hulda Augusta Winters,Death,1951-06-01,,Died Salt Lake City Utah age 94; 1 daughter with Grant; sole surviving wife when Grant became president in 1918; Wikipedia erroneously gives death year as 1952,https://history.churchofjesuschrist.org/chd/individual/hulda-augusta-winters-1856?lang=eng
Emily Harris Wells,Birth,1857-04-22,,Born in Salt Lake City Utah Territory; daughter of Daniel H. Wells and Martha Givens Harris,https://en.wikipedia.org/wiki/Daniel_H._Wells
Emily Harris Wells,Marriage,1884-05-27,Heber J. Grant,Third wife; plural marriage entered the day after Augusta Winters; Emily initially opposed polygamy,https://en.wikipedia.org/wiki/Heber_J._Grant
Emily Harris Wells,Death,1908-05-25,,Died Salt Lake City Utah age 51 from stomach cancer diagnosed 1907; 5 children with Grant (4 daughters + 1 son who died in childhood),https://en.wikipedia.org/wiki/Heber_J._Grant
