Name,Event,Date,Second Party,Note,Source
John Taylor,Birth,1808-11-01,,Born in Milnthorpe Westmorland England; 3rd President of the LDS Church (1880–1887),https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Death,1887-07-25,,Died in Kaysville Davis County Utah Territory while in hiding to avoid federal anti-polygamy prosecution,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1833-01-28,Leonora Cannon,Civil marriage in York England before LDS conversion; first wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1843-12-12,Elizabeth Kaighin,Sealed in Nauvoo Illinois; second wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1844-02-25,Jane Ballantyne,Sealed in Nauvoo Illinois; third wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1845-04-01,Mary Ann Oakley,Sealed in Nauvoo Illinois; date approximate (month/year only in CHD); fourth wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1846-01-17,Mary Amanda Utley,Sealed for eternity in Nauvoo Illinois; fifth wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1846-01-23,Mercy Rachel Fielding,Sealed in Nauvoo Illinois; sixth wife; previously married to Robert B. Thompson (widow),https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1846-01-23,Mary Ramsbottom,Sealed in Nauvoo Illinois; seventh wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1846-01-30,Ann Hughlings,Sealed in Nauvoo Illinois; eighth wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1846-01-30,Lydia Dibble,Sealed in Nauvoo Illinois; ninth wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1846-01-30,Sarah Thornton,Sealed in Nauvoo Illinois; tenth wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1847-04-23,Sophia Whitaker,Eleventh wife; 8 children with John Taylor,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1847-04-23,Annie Ballantyne,Twelfth wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1847-12-04,Harriett Whitaker,Thirteenth wife; likely sister of Sophia Whitaker,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
