Name,Event,Date,Second Party,Note,Source
Joseph F. Smith,Birth,1838-11-13,,Born in Far West Missouri; son of Hyrum Smith (martyred with Joseph Smith); 6th President of the LDS Church (1901–1918),https://en.wikipedia.org/wiki/Joseph_F._Smith
Joseph F. Smith,Death,1918-11-19,,Died in Salt Lake City Utah; last LDS President to have practiced plural marriage; father of Joseph Fielding Smith (10th president),https://en.wikipedia.org/wiki/Joseph_F._Smith
Levira Annette Clark,Birth,1842-01-01,,Born ca. 1842,https://en.wikipedia.org/wiki/Joseph_F._Smith
Levira Annette Clark,Marriage,1859-04-05,Joseph F. Smith,First wife; married in Salt Lake City Utah,https://en.wikipedia.org/wiki/Joseph_F._Smith
Levira Annette Clark,Divorce,1867-06-10,Joseph F. Smith,Divorced on grounds of desertion; Levira later remarried,https://en.wikipedia.org/wiki/Joseph_F._Smith
Levira Annette Clark,Death,1888,,
Julina Lambson,Birth,1849-06-18,,Born in Salt Lake City Utah Territory,https://en.wikipedia.org/wiki/Joseph_F._Smith
Julina Lambson,Marriage,1866-05-05,Joseph F. Smith,Second wife; first plural wife,https://history.churchofjesuschrist.org/chd/individual/joseph-fielding-smith-1838?lang=eng
Julina Lambson,Death,1936-01-10,,Died in Salt Lake City Utah; 13 children with Joseph F. Smith,https://en.wikipedia.org/wiki/Joseph_F._Smith
Sarah Ellen Richards,Birth,1850-08-24,,Born in Salt Lake City Utah Territory; granddaughter of Willard Richards,https://en.wikipedia.org/wiki/Joseph_F._Smith
Sarah Ellen Richards,Marriage,1868-03-01,Joseph F. Smith,Third wife,https://history.churchofjesuschrist.org/chd/individual/joseph-fielding-smith-1838?lang=eng
Sarah Ellen Richards,Death,1915-03-22,,Died in Salt Lake City Utah; 11 children with Joseph F. Smith; predeceased Joseph F. Smith,https://en.wikipedia.org/wiki/Joseph_F._Smith
Edna Lambson,Birth,1851-03-03,,Born in Salt Lake City Utah Territory; cousin of co-wife Julina Lambson,https://en.wikipedia.org/wiki/Joseph_F._Smith
Edna Lambson,Marriage,1871-05-05,Joseph F. Smith,Fourth wife; cousin of Julina Lambson,https://history.churchofjesuschrist.org/chd/individual/joseph-fielding-smith-1838?lang=eng
Edna Lambson,Death,1926-02-28,,Died in Salt Lake City Utah; 10 children with Joseph F. Smith,https://en.wikipedia.org/wiki/Joseph_F._Smith
Alice Ann Kimball,Birth,1858-09-06,,Born in Salt Lake City Utah Territory; daughter of Heber C. Kimball,https://en.wikipedia.org/wiki/Joseph_F._Smith
Alice Ann Kimball,Marriage,1883-12-06,Joseph F. Smith,Fifth wife,https://history.churchofjesuschrist.org/chd/individual/joseph-fielding-smith-1838?lang=eng
Alice Ann Kimball,Death,1946-12-19,,Died in Salt Lake City Utah; 7 children with Joseph F. Smith (5 adopted),https://en.wikipedia.org/wiki/Joseph_F._Smith
Mary Taylor Schwartz,Birth,1865-04-30,,Born in Salt Lake City Utah Territory,https://en.wikipedia.org/wiki/Joseph_F._Smith
Mary Taylor Schwartz,Marriage,1884-01-13,Joseph F. Smith,Sixth and final wife,https://history.churchofjesuschrist.org/chd/individual/joseph-fielding-smith-1838?lang=eng
Mary Taylor Schwartz,Death,1956-12-05,,Died in Salt Lake City Utah; 7 children with Joseph F. Smith; longest-lived of his wives,https://en.wikipedia.org/wiki/Joseph_F._Smith
