Name,Event,Date,Second Party,Note,Source
Lorenzo Snow,Birth,1814-04-03,,Born in Mantua (Portage County) Ohio; 5th President of the LDS Church (1898–1901); served prison sentence for unlawful cohabitation in 1886,https://en.wikipedia.org/wiki/Lorenzo_Snow
Lorenzo Snow,Death,1901-10-10,,Died in Salt Lake City Utah aged 87,https://en.wikipedia.org/wiki/Lorenzo_Snow
Mary Adaline Goddard,Birth,1812-03-08,,Born in Connecticut,https://en.wikipedia.org/wiki/Lorenzo_Snow
Mary Adaline Goddard,Marriage,1845-01-17,Lorenzo Snow,First wife; CHD gives Jan 17 1845; Wikipedia gives only 1845; date uncertain,https://history.churchofjesuschrist.org/chd/individual/lorenzo-snow-1814?lang=eng
Mary Adaline Goddard,Death,1898-12-28,,3 children with Lorenzo Snow: Rosetta Adaline (1846) Oliver Goddard (1849) Isadore Percy (1855),https://en.wikipedia.org/wiki/Lorenzo_Snow
Sarah Ann Pritchard,Birth,1826-11-29,,Born in Ohio; surname also spelled Prichard in LDS CHD,https://en.wikipedia.org/wiki/Lorenzo_Snow
Sarah Ann Pritchard,Marriage,1845-04-21,Lorenzo Snow,Second wife,https://en.wikipedia.org/wiki/Lorenzo_Snow
Sarah Ann Pritchard,Death,1900-11-30,,5 children with Lorenzo Snow,https://en.wikipedia.org/wiki/Lorenzo_Snow
Charlotte Merrill Squires,Birth,1825-11-19,,Born in Ohio; sister of co-wife Harriet Amelia Squires,https://en.wikipedia.org/wiki/Lorenzo_Snow
Charlotte Merrill Squires,Marriage,1846-01-17,Lorenzo Snow,Third wife; married same day as her sister Harriet Amelia Squires,https://en.wikipedia.org/wiki/Lorenzo_Snow
Charlotte Merrill Squires,Death,1850-09-25,,2 children with Lorenzo Snow,https://en.wikipedia.org/wiki/Lorenzo_Snow
Harriet Amelia Squires,Birth,1819-09-13,,Born in Ohio; sister of co-wife Charlotte Merrill Squires,https://en.wikipedia.org/wiki/Lorenzo_Snow
Harriet Amelia Squires,Marriage,1846-01-17,Lorenzo Snow,Fourth wife; married same day as her sister Charlotte Merrill Squires,https://en.wikipedia.org/wiki/Lorenzo_Snow
Harriet Amelia Squires,Death,1890-05-12,,5 children with Lorenzo Snow,https://en.wikipedia.org/wiki/Lorenzo_Snow
Eleanor Houtz,Birth,1832-08-14,,Born August 14 1832; Wikipedia gives 1832 — LDS CHD gives 1831; Wikipedia preferred for full date; possible sister of co-wife Mary Elizabeth Houtz,https://en.wikipedia.org/wiki/Lorenzo_Snow
Eleanor Houtz,Marriage,1848-06-01,Lorenzo Snow,Fifth wife,https://en.wikipedia.org/wiki/Lorenzo_Snow
Eleanor Houtz,Death,1896-09-13,,8 children with Lorenzo Snow (1850–1870),https://en.wikipedia.org/wiki/Lorenzo_Snow
Caroline Horton,Birth,1828-12-25,,Wikipedia gives Dec 25 1828; LDS CHD gives birth year 1824; four-year discrepancy unresolved; Wikipedia preferred for full date,https://en.wikipedia.org/wiki/Lorenzo_Snow
Caroline Horton,Marriage,1853-10-09,Lorenzo Snow,Sixth wife; born in England,https://en.wikipedia.org/wiki/Lorenzo_Snow
Caroline Horton,Death,1857-02-21,,3 children with Lorenzo Snow (1854–1857); died same year as last child was born,https://en.wikipedia.org/wiki/Lorenzo_Snow
Mary Elizabeth Houtz,Birth,1840-05-19,,Born in Pennsylvania; possible sister of co-wife Eleanor Houtz,https://en.wikipedia.org/wiki/Lorenzo_Snow
Mary Elizabeth Houtz,Marriage,1857-03-05,Lorenzo Snow,Seventh wife; CHD gives March 5 1857; Wikipedia gives only 1857,https://history.churchofjesuschrist.org/chd/individual/lorenzo-snow-1814?lang=eng
Mary Elizabeth Houtz,Death,1906-05-31,,6 children with Lorenzo Snow (1860–1871),https://en.wikipedia.org/wiki/Lorenzo_Snow
Phoebe Amelia Woodruff,Birth,1842-03-04,,Born in Nauvoo Illinois; daughter of LDS President Wilford Woodruff; name spelled Phebe in LDS CHD,https://en.wikipedia.org/wiki/Lorenzo_Snow
Phoebe Amelia Woodruff,Marriage,1859-04-04,Lorenzo Snow,Eighth wife,https://en.wikipedia.org/wiki/Lorenzo_Snow
Phoebe Amelia Woodruff,Death,1919-02-15,,5 children with Lorenzo Snow (1860–1870); outlived Lorenzo Snow by nearly 18 years,https://en.wikipedia.org/wiki/Lorenzo_Snow
Sarah Minnie Jensen,Birth,1855-10-10,,Born in Brigham City Utah; listed as Sarah Ephramina Jensen in LDS CHD,https://en.wikipedia.org/wiki/Lorenzo_Snow
Sarah Minnie Jensen,Marriage,1871-06-12,Lorenzo Snow,Ninth wife; married when Snow was 57 and she was approximately 15,https://en.wikipedia.org/wiki/Lorenzo_Snow
Sarah Minnie Jensen,Death,1908-01-02,,5 children with Lorenzo Snow (1876–1896),https://en.wikipedia.org/wiki/Lorenzo_Snow
