Name,Event,Date,Place,Second Party,Link
George Reynolds,Birth,1842-01-01,,,
George Reynolds,Marriage,1865-07-22 (to 1885-12-18),,Mary Ann Tuddenham,
George Reynolds,Marriage,1874-08-03 (to 1908-03-31),,Amelia Jane Schofield,
George Reynolds,Marriage,1885-04-26 (to 1909-08-09),,Mary Goold,
George Reynolds,Death,1909-08-09,,,
Mary Ann Tuddenham,Birth,1846-09-19,,,
Mary Ann Tuddenham,Marriage,1865-07-22 (to 1885-12-18),,George Reynolds,
Mary Ann Tuddenham,Death,1885-12-18,,,
Amelia Jane Schofield,Birth,1852-03-29,,,
Amelia Jane Schofield,Marriage,1874-08-03 (to 1908-03-31),,George Reynolds,
Amelia Jane Schofield,Death,1908-03-31,,,
Mary Goold,Birth,1859-09-16,,,
Mary Goold,Marriage,1885-04-26 (to 1909-08-09),,George Reynolds,
Mary Goold,Death,1936-01-05,,,
