Name,Event,Date,Place,Second Party,Link
James Ernest Hope,Birth,1891-03-25,,,
James Ernest Hope,Marriage,1911-12-20 (to 1960-06-01),,Sarah Elizabeth Bennett,
James Ernest Hope,Marriage,1931-08-17 (to 1956-04-27),,Lena Oechsle,
James Ernest Hope,Marriage,1938-06-11 (to 1962-12-17),,Francis Elizabeth Cowlishaw,
James Ernest Hope,Marriage,1942-12-30 (to 1962-12-17),,Marteena Kartchner,
James Ernest Hope,Death,1962-12-17,,,
Sarah Elizabeth Bennett,Birth,1893-02-06,,,
Sarah Elizabeth Bennett,Marriage,1911-12-20 (to 1960-06-01),,James Ernest Hope,
Sarah Elizabeth Bennett,Death,1960-06-01,,,
Lena Oechsle,Birth,1889-07-12,,,
Lena Oechsle,Marriage,1931-08-17 (to 1956-04-27),,James Ernest Hope,
Lena Oechsle,Death,1956-04-27,,,
Francis Elizabeth Cowlishaw,Birth,1885-02-22,,,
Francis Elizabeth Cowlishaw,Marriage,1938-06-11 (to 1962-12-17),,James Ernest Hope,
Francis Elizabeth Cowlishaw,Death,1963-04-17,,,
Marteena Kartchner,Birth,1896-06-04,,,
Marteena Kartchner,Marriage,1942-12-30 (to 1962-12-17),,James Ernest Hope,
Marteena Kartchner,Death,1981-07-10,,,
