Name,Event,Date,Place,Second Party,Link
John Menzies MacFarlane,Birth,1833-10-11,,,
John Menzies MacFarlane,Marriage,1854-12-30 (to 1892-06-04),,Ann Chatterley,
John Menzies MacFarlane,Marriage,1866-10-09 (to 1892-06-04),,Agnes Eliza Heybourne,
John Menzies MacFarlane,Marriage,1879-01-30 (to 1892-06-04),,"Elizabeth Jane ""Lizzie"" Adams",
John Menzies MacFarlane,Death,1892-06-04,,,
Ann Chatterley,Birth,1837-03-03,,,
Ann Chatterley,Marriage,1854-12-30 (to 1892-06-04),,John Menzies MacFarlane,
Ann Chatterley,Death,1926-07-10,,,
Agnes Eliza Heybourne,Birth,1846-02-16,,,
Agnes Eliza Heybourne,Marriage,1866-10-09 (to 1892-06-04),,John Menzies MacFarlane,
Agnes Eliza Heybourne,Death,1932-02-15,,,
"Elizabeth Jane ""Lizzie"" Adams",Birth,1858-02-08,,,
"Elizabeth Jane ""Lizzie"" Adams",Marriage,1879-01-30 (to 1892-06-04),,John Menzies MacFarlane,
"Elizabeth Jane ""Lizzie"" Adams",Death,1948-03-10,,,
