Name,Event,Date,Place,Second Party,Link
Henry VIII,Birth,1491-06-28,,,
Henry VIII,Marriage,1509-06-11 (to 1533-05-23),,Catherine of Aragon,
Henry VIII,Marriage,1533-01-25 (to 1536-05-17),,Anne Boleyn,
Henry VIII,Marriage,1536-05-30 (to 1537-10-24),,Jane Seymour,
Henry VIII,Marriage,1540-01-06 (to 1540-07-12),,Anne of Cleves,
Henry VIII,Marriage,1540-07-28 (to 1542-02-13),,Catherine Howard,
Henry VIII,Marriage,1543-07-12 (to 1547-01-28),,Catherine Parr,
Henry VIII,Marriage,,,Bessie Blount,
Henry VIII,Marriage,,,Mary Boleyn,
Henry VIII,Death,1547-01-28,,,
Catherine of Aragon,Birth,1485-12-16,,,
Catherine of Aragon,Marriage,1509-06-11 (to 1533-05-23),,Henry VIII,
Catherine of Aragon,Death,1536-01-07,,,
Anne Boleyn,Birth,1501-01-01,,,
Anne Boleyn,Marriage,1533-01-25 (to 1536-05-17),,Henry VIII,
Anne Boleyn,Death,1536-05-19,,,
Jane Seymour,Birth,1508-01-01,,,
Jane Seymour,Marriage,1536-05-30 (to 1537-10-24),,Henry VIII,
Jane Seymour,Death,1537-10-24,,,
Anne of Cleves,Birth,1515-09-22,,,
Anne of Cleves,Marriage,1540-01-06 (to 1540-07-12),,Henry VIII,
Anne of Cleves,Death,1557-07-16,,,
Catherine Howard,Birth,1523-01-01,,,
Catherine Howard,Marriage,1540-07-28 (to 1542-02-13),,Henry VIII,
Catherine Howard,Death,1542-02-13,,,
Catherine Parr,Birth,1512-07-01,,,
Catherine Parr,Marriage,1543-07-12 (to 1547-01-28),,Henry VIII,
Catherine Parr,Death,1548-09-05,,,
Bessie Blount,Birth,1500-01-01,,,
Bessie Blount,Marriage,,,Henry VIII,
Bessie Blount,Death,1540-01-01,,,
Mary Boleyn,Birth,1499-01-01,,,
Mary Boleyn,Marriage,,,Henry VIII,
Mary Boleyn,Death,1543-07-19,,,
