Name,Event,Date,Place,Second Party,Link
William Clayton,Birth,1814-11-17,,,
William Clayton,Marriage,1836-10-09,,Ruth Moon,
William Clayton,Marriage,1843-04-27 (to 1870-01-01),,Margaret Moon,
William Clayton,Marriage,1844-09-13 (to 1858-01-01),,Alice Hardman,
William Clayton,Marriage,1844-11-20 (to 1846-01-01),,Jane Hardman,
William Clayton,Marriage,1846-01-01 (to 1850-09-11),,Diantha Farr,
William Clayton,Marriage,1850-10-05,,Augusta Braddock,
William Clayton,Marriage,1856-11-30,,Sarah Ann Walters,
William Clayton,Marriage,1866-01-01 (to 1871-01-01),,Maria Louisa Lyman,
William Clayton,Marriage,1870-12-19,,Elizabeth Mort Ainsworth,
William Clayton,Marriage,1870-12-30,,Anna Elizabeth Higgs,
William Clayton,Death,1879-12-04,,,
Ruth Moon,Birth,1816-01-01,,,
Ruth Moon,Marriage,1836-10-09,,William Clayton,
Ruth Moon,Death,1893-01-01,,,
Margaret Moon,Birth,1820-01-01,,,
Margaret Moon,Marriage,1843-04-27 (to 1870-01-01),,William Clayton,
Margaret Moon,Death,1870-01-01,,,
Alice Hardman,Birth,1820-01-01,,,
Alice Hardman,Marriage,1844-09-13 (to 1858-01-01),,William Clayton,
Alice Hardman,Death,1900-01-01,,,
Jane Hardman,Birth,1822-01-01,,,
Jane Hardman,Marriage,1844-11-20 (to 1846-01-01),,William Clayton,
Jane Hardman,Death,1900-01-01,,,
Diantha Farr,Birth,1825-01-01,,,
Diantha Farr,Marriage,1846-01-01 (to 1850-09-11),,William Clayton,
Diantha Farr,Death,1850-09-11,,,
Augusta Braddock,Birth,1833-01-01,,,
Augusta Braddock,Marriage,1850-10-05,,William Clayton,
Augusta Braddock,Death,1915-01-01,,,
Sarah Ann Walters,Birth,1838-01-01,,,
Sarah Ann Walters,Marriage,1856-11-30,,William Clayton,
Sarah Ann Walters,Death,1920-01-01,,,
Maria Louisa Lyman,Birth,1849-01-01,,,
Maria Louisa Lyman,Marriage,1866-01-01 (to 1871-01-01),,William Clayton,
Maria Louisa Lyman,Death,1930-01-01,,,
Elizabeth Mort Ainsworth,Birth,1818-01-01,,,
Elizabeth Mort Ainsworth,Marriage,1870-12-19,,William Clayton,
Elizabeth Mort Ainsworth,Death,1900-01-01,,,
Anna Elizabeth Higgs,Birth,1853-01-01,,,
Anna Elizabeth Higgs,Marriage,1870-12-30,,William Clayton,
Anna Elizabeth Higgs,Death,1935-01-01,,,
